,Response
0,try
1,and
2,avoid
3,this
4,sort
5,of
6,conflict
7,try and
8,and avoid
9,avoid this
10,this sort
11,sort of
12,of conflict
13,try and avoid
14,and avoid this
15,avoid this sort
16,this sort of
17,sort of conflict
18,try and avoid this
19,and avoid this sort
20,avoid this sort of
21,this sort of conflict
22,try and avoid this sort
23,and avoid this sort of
24,avoid this sort of conflict
25,try and avoid this sort of
26,and avoid this sort of conflict
27,try and avoid this sort of conflict
28,had
29,friend
30,open
31,up
32,to
33,me
34,about
35,his
36,mental
37,addiction
38,weed
39,and
40,how
41,it
42,was
43,taking
44,over
45,life
46,making
47,him
48,depressed
49,had friend
50,friend open
51,open up
52,up to
53,to me
54,me about
55,about his
56,his mental
57,mental addiction
58,addiction to
59,to weed
60,weed and
61,and how
62,how it
63,it was
64,was taking
65,taking over
66,over his
67,his life
68,life and
69,and making
70,making him
71,him depressed
72,had friend open
73,friend open up
74,open up to
75,up to me
76,to me about
77,me about his
78,about his mental
79,his mental addiction
80,mental addiction to
81,addiction to weed
82,to weed and
83,weed and how
84,and how it
85,how it was
86,it was taking
87,was taking over
88,taking over his
89,over his life
90,his life and
91,life and making
92,and making him
93,making him depressed
94,had friend open up
95,friend open up to
96,open up to me
97,up to me about
98,to me about his
99,me about his mental
100,about his mental addiction
101,his mental addiction to
102,mental addiction to weed
103,addiction to weed and
104,to weed and how
105,weed and how it
106,and how it was
107,how it was taking
108,it was taking over
109,was taking over his
110,taking over his life
111,over his life and
112,his life and making
113,life and making him
114,and making him depressed
115,had friend open up to
116,friend open up to me
117,open up to me about
118,up to me about his
119,to me about his mental
120,me about his mental addiction
121,about his mental addiction to
122,his mental addiction to weed
123,mental addiction to weed and
124,addiction to weed and how
125,to weed and how it
126,weed and how it was
127,and how it was taking
128,how it was taking over
129,it was taking over his
130,was taking over his life
131,taking over his life and
132,over his life and making
133,his life and making him
134,life and making him depressed
135,had friend open up to me
136,friend open up to me about
137,open up to me about his
138,up to me about his mental
139,to me about his mental addiction
140,me about his mental addiction to
141,about his mental addiction to weed
142,his mental addiction to weed and
143,mental addiction to weed and how
144,addiction to weed and how it
145,to weed and how it was
146,weed and how it was taking
147,and how it was taking over
148,how it was taking over his
149,it was taking over his life
150,was taking over his life and
151,taking over his life and making
152,over his life and making him
153,his life and making him depressed
154,had friend open up to me about
155,friend open up to me about his
156,open up to me about his mental
157,up to me about his mental addiction
158,to me about his mental addiction to
159,me about his mental addiction to weed
160,about his mental addiction to weed and
161,his mental addiction to weed and how
162,mental addiction to weed and how it
163,addiction to weed and how it was
164,to weed and how it was taking
165,weed and how it was taking over
166,and how it was taking over his
167,how it was taking over his life
168,it was taking over his life and
169,was taking over his life and making
170,taking over his life and making him
171,over his life and making him depressed
172,had friend open up to me about his
173,friend open up to me about his mental
174,open up to me about his mental addiction
175,up to me about his mental addiction to
176,to me about his mental addiction to weed
177,me about his mental addiction to weed and
178,about his mental addiction to weed and how
179,his mental addiction to weed and how it
180,mental addiction to weed and how it was
181,addiction to weed and how it was taking
182,to weed and how it was taking over
183,weed and how it was taking over his
184,and how it was taking over his life
185,how it was taking over his life and
186,it was taking over his life and making
187,was taking over his life and making him
188,taking over his life and making him depressed
189,had friend open up to me about his mental
190,friend open up to me about his mental addiction
191,open up to me about his mental addiction to
192,up to me about his mental addiction to weed
193,to me about his mental addiction to weed and
194,me about his mental addiction to weed and how
195,about his mental addiction to weed and how it
196,his mental addiction to weed and how it was
197,mental addiction to weed and how it was taking
198,addiction to weed and how it was taking over
199,to weed and how it was taking over his
200,weed and how it was taking over his life
201,and how it was taking over his life and
202,how it was taking over his life and making
203,it was taking over his life and making him
204,was taking over his life and making him depressed
205,had friend open up to me about his mental addiction
206,friend open up to me about his mental addiction to
207,open up to me about his mental addiction to weed
208,up to me about his mental addiction to weed and
209,to me about his mental addiction to weed and how
210,me about his mental addiction to weed and how it
211,about his mental addiction to weed and how it was
212,his mental addiction to weed and how it was taking
213,mental addiction to weed and how it was taking over
214,addiction to weed and how it was taking over his
215,to weed and how it was taking over his life
216,weed and how it was taking over his life and
217,and how it was taking over his life and making
218,how it was taking over his life and making him
219,it was taking over his life and making him depressed
220,had friend open up to me about his mental addiction to
221,friend open up to me about his mental addiction to weed
222,open up to me about his mental addiction to weed and
223,up to me about his mental addiction to weed and how
224,to me about his mental addiction to weed and how it
225,me about his mental addiction to weed and how it was
226,about his mental addiction to weed and how it was taking
227,his mental addiction to weed and how it was taking over
